YEAR,Elev_avgedbyyears_feet,Elevation (masl),TDS (mg/L),
1867,3867.200124,1178.722598,,
1871,3877.95288,1182.000038,,1183.000038
1882,3866.200124,1178.417798,,
1890,3875.200124,1181.160998,,
1891,3881.23372,1183.000038,,
1904,3861.800124,1177.076678,,
1909,3869.400124,1179.393158,,
1911,3868.200124,1179.027398,,
1912,3866.800124,1178.600678,,
1913,3864.800124,1177.991078,,
1914,3864.400124,1177.869158,,
1915,3861.800124,1177.076678,,
1917,3861.600124,1177.015718,,
1922,3856.400123,1175.430758,,
1924,3854.200123,1174.760198,,
1926,3848.800123,1173.114278,,
1927,3846.000123,1172.260838,,
1928,3845.000123,1171.956038,,
1929,3841.800123,1170.980677,,
1930,3838.800123,1170.066277,,
1931,3832.000123,1167.993637,,
1932,3831.800123,1167.932677,,
1933,3829.400123,1167.201157,,
1934,3825.800122,1166.103877,,
1935,3822.600122,1165.128517,,
1936,3820.100122,1164.366517,,
1937,3816.600122,1163.299717,,
1938,3817.000122,1163.421637,,
1939,3820.200122,1164.396997,,
1940,3817.200122,1163.482597,,
1941,3817.000122,1163.421637,,
1942,3815.500122,1162.964437,,
1943,3816.800122,1163.360677,,
1944,3819.400122,1164.153157,,
1945,3816.700122,1163.330197,,
1946,3816.000122,1163.116837,,
1947,3812.800122,1162.141477,,
1948,3810.100122,1161.318517,,
1949,3805.700122,1159.977397,,
1950,3803.800122,1159.398277,,
1951,3804.700122,1159.672597,,
1952,3803.000122,1159.154437,,
1953,3809.200122,1161.044197,,
1954,3807.700122,1160.586997,,
1955,3804.400122,1159.581157,,
1956,3802.700122,1159.062997,,
1957,3804.300122,1159.550677,,
1958,3801.000122,1158.544837,,
1959,3802.300122,1158.941077,,
1960,3798.500122,1157.782837,,
1961,3795.200121,1156.776997,,
1962,3792.000121,1155.801637,,
1963,3789.300121,1154.978677,,
1964,3788.900121,1154.856757,,
1965,3787.400121,1154.399557,,
1966,3787.100121,1154.308117,,
1967,3784.100121,1153.393717,,
1968,3787.700121,1154.490997,,
1969,3786.100121,1154.003317,,
1970,3792.300121,1155.893077,,
1971,3793.200121,1156.167397,,
1972,3795.000121,1156.716037,,
1973,3793.200121,1156.167397,,
1974,3793.200121,1156.167397,,
1975,3795.300121,1156.807477,,
1976,3797.100122,1157.356117,,
1977,3795.600121,1156.898917,,
1978,3792.700121,1156.014997,,
1979,3789.700121,1155.100597,,
1980,3788.310121,1154.676925,,
1981,3788.500121,1154.734837,,
1982,3787.340121,1154.381269,,
1983,3794.940121,1156.697749,,
1984,3809.570122,1161.156973,,
1985,3812.130122,1161.937261,5211.265433,
1986,3810.290122,1161.376429,4986.994474,
1987,3814.860122,1162.769365,5110.844694,
1988,3812.590122,1162.077469,5136.337618,
1989,3809.100122,1161.013717,5163.209394,
1990,3806.380122,1160.184661,5262.024418,
1991,3802.900122,1159.123957,5260.731556,
1992,3799.900122,1158.209557,5457.489089,
1993,3796.530121,1157.182381,5558.064916,
1994,3795.580121,1156.892821,5695.105892,
1995,3793.170121,1156.158253,5564.7118,
1996,3795.920121,1156.996453,5448.59223,
1997,3802.680122,1159.056901,5068.143633,
1998,3807.930122,1160.657101,4826.793789,
1999,3813.060122,1162.220725,4939.296605,
2000,3817.050122,1163.436877,4843.21881,
2001,3816.400122,1163.238757,4999.027292,
2002,3813.190122,1162.260349,5039.014877,
2003,3810.510122,1161.443485,5034.331781,
2004,3808.700122,1160.891797,5101.666908,
2005,3806.000122,1160.068837,5302.214607,
2006,3806.680122,1160.276101,5216.472103,
2007,3808.700122,1160.891797,,
2008,3806.160122,1160.117605,,
2009,3802.930122,1159.133101,,
2010,3802.130122,1158.889261,,
2011,3800.590122,1158.419869,5586.500503,
2012,3801.790122,1158.785629,5477.355314,
2013,3801.790122,1158.785629,5659.238951,
2014,3796,1157.0208,5720.539435,
2015,3795,1156.716,5785.862255,
2016,3795,1156.716,5892.742005,
2017,3797,1157.3256,5779.359801,
2018,3802.11,1158.883128,5652.160826,
2019,3803.08,1159.178784,5646.955967,
2020,3807.39,1160.492472,,
2021,3805.53,1159.925544,,
2022,3803.04,1159.166592,,
